question,answer
"Eğer çiftçi Steven traktörüyle günde 10 dönüm tarlayı sürebiliyorsa veya aynı traktörle günde 12 dönüm otlak biçebiliyorsa, 55 dönümlük tarlasını sürmesi ve 30 dönümlük otlağını biçmesi ne kadar sürer?","Çiftçi Steven'ın 55 dönümlük tarlasını sürmesi 5.5 gün (55 ÷ 10) alır.

Ayrıca, 30 dönümlük otlağı biçmesi 2.5 gün (30 ÷ 12) alır.

Toplam süre, 5.5 gün + 2.5 gün = 8 gündür."
Bir restoranda 4 ayaklı 40 masa ve 3 ayaklı 50 masa bulunmaktadır. Restoranın masalarının sahip olduğu toplam ayak sayısını hesaplayın.,"Restoranda 4 ayaklı 40 masa ve 3 ayaklı 50 masa bulunmaktadır.

4 ayaklı 40 masanın toplam ayak sayısı: 4 * 40 = 160
3 ayaklı 50 masanın toplam ayak sayısı: 3 * 50 = 150

Toplam ayak sayısı: 160 + 150 = 310

Restorandaki masaların toplam ayak sayısı 310'dur."
"Billy ve Jenny'nin her biri 5 dolarlık bir içkiyle birlikte 20 dolarlık bir biftek sipariş ederse, Billy ikisi için %20'lik bahşişin %80'ini karşılamak istiyorsa bahşiş olarak ne kadar ödemek zorunda kalır?","Billy ve Jenny'nin toplam yemek ücreti:
(2 x 20 dolar) + (2 x 5 dolar) = 40 dolar + 10 dolar = 50 dolar.

Toplam bahşiş (%20):
%20 x 50 dolar = 10 dolar.

Billy'nin ödemesi gereken bahşiş:
%80 x 10 dolar = 8 dolar."
"Büyükanne Olga'nın 3 kızı ve 3 oğlu vardır.  Kızlarının her birinin 6 oğlu ve oğullarının her birinin 5 kızı varsa, toplam kaç torunu vardır?","Büyükanne Olga'nın toplamda 3 kızı ve her bir kızının 6 oğlu var. Bu durumda kızlarının toplam torun sayısı 3 × 6 = 18'dir.

Ayrıca büyükanne Olga'nın 3 oğlu ve her bir oğlunun 5 kızı var. Bu durumda oğullarının toplam torun sayısı 3 × 5 = 15'tir.

Toplam torun sayısını bulmak için bu iki sayıyı toplarız:
18 + 15 = 33

Dolayısıyla, büyükanne Olga'nın toplam 33 torunu vardır."
"Okulda 14 erkek ve 10 kız öğrenci vardır. Eğer 4 erkek ve 3 kız okulu bırakırsa, geriye kaç erkek ve kız kalır?",10 erkek ve 7 kız kalır.
"Max bu hafta sonu iki film izlemeyi planlıyor. İlk film 1 saat 30 dakika uzunluğunda, ikinci film ise 2 saat 5 dakika uzunluğundadır. Max'in bu iki filmi izlemesi kaç dakika sürer?",Max'in iki filmi izlemesi toplamda 215 dakika sürer.
"Dave 175 kilodur ve vücut ağırlığının üç katı ağırlıkta bench press yapabilir.  Craig, Dave'in yapabildiğinin sadece %20'si kadar bench press yapabiliyor.  Mark yeni ve Craig'den 50 pound daha az ağırlık kaldırabiliyor.  Mark ne kadar ağırlık kaldırabilir?",Mark 105 pound ağırlık kaldırabilir.
Andy 90 sardunya ve sardunyalardan 40 daha az petunya ekiyor. Toplam kaç çiçek eker?,"Andy 90 sardunya ekiyor ve sardunyalardan 40 az petunya ekiyor, yani 90 - 40 = 50 petunya ekiyor. Toplamda 90 + 50 = 140 çiçek ekiyor."
"Carson çeşitli kullanımlar için deniz yosunlarını ayırıyor. Deniz yosununun %50'si sadece ateş yakmak için kullanılıyor. Geriye kalanların %25'i insanlar tarafından yenebilir ve geri kalanı çiftlik hayvanlarına verilir. Carson 400 kilo deniz yosunu hasat ederse, kaç kilosu çiftlik hayvanlarına verilir?","Carson 400 kilo deniz yosunu hasat ederse, bunun %50'si ateş yakmak için kullanılır. Yani:

400 kg × 0.50 = 200 kg ateş yakmak için kullanılır.

Geriye kalan miktar:
400 kg - 200 kg = 200 kg

Bu 200 kilonun %25'i insanlar tarafından yenebilir:
200 kg × 0.25 = 50 kg

Geri kalan miktar çiftlik hayvanlarına verilir:
200 kg - 50 kg = 150 kg

Sonuç olarak, 150 kilo deniz yosunu çiftlik hayvanlarına verilir."
Sue ve kız kardeşi 2.100 dolarlık bir araba satın alırlar.  Maliyeti kullanım günlerinin yüzdesine göre paylaşmayı kabul ederler.  Sue'nun kız kardeşi arabayı haftada 4 gün kullanacak ve geri kalan günleri Sue alacak.  Sue ne kadar ödemek zorundadır?,"Sue'nun kız kardeşi haftada 4 gün kullanacaksa, Sue haftada 3 gün kullanacaktır. Haftanın 7 gün olduğunu düşünürsek, Sue'nun kullanma yüzdesi \( \frac{3}{7} \)'dir. Bu yüzdede, Sue'nun ödeyeceği miktar şu şekilde hesaplanır:

\( \frac{3}{7} \times 2100 \)

Bu da yaklaşık olarak 900 dolar eder. Bu durumda, Sue 900 dolar ödemek zorundadır."
"A ovasının doğusundaki bölge B ovasının doğusundaki bölgeden 50 mil kare daha azdır. B ovası 200 mil kareye sahipse, ovalar toplam kaç mil kareye sahiptir?","A ovasının doğusundaki bölge, B ovasının doğusundaki bölgeden 50 mil kare daha az olduğuna göre,

A ovasının doğusundaki bölge = (B ovasının doğusundaki bölge) - 50 mil kare.

B ovasının doğusundaki bölge 200 mil kare olduğuna göre,

A ovasının doğusundaki bölge = 200 - 50 = 150 mil kare.

İki ovanın toplam alanı ise:

150 mil kare (A ovası) + 200 mil kare (B ovası) = 350 mil kare."
